,year,avg_temp,MA10,MA25,avg_temp_f,MA10_F,MA25_F
172,1915,17.106608187134515,20.526,20.488000000000003,62.791894736842096,68.94680000000001,68.8784
173,1916,16.934678362573106,20.55,20.511599999999998,62.482421052631594,68.99000000000001,68.92088
174,1917,16.52187134502924,20.558,20.522,61.739368421052625,69.0044,68.9396
175,1918,16.849678362573105,20.538,20.5436,62.3294210526316,68.9684,68.97848
176,1919,16.95646198830411,20.541,20.5504,62.5216315789473,68.97380000000001,68.99072
177,1920,16.927953216374267,20.578,20.5556,62.470315789473645,69.0404,69.00008
178,1921,17.26143274853801,20.561999999999998,20.5444,63.070578947368475,69.0116,68.97992
179,1922,17.06315789473682,20.636,20.5524,62.71368421052637,69.1448,68.99432
180,1923,17.02342105263158,20.702,20.5792,62.64215789473685,69.2636,69.04256
181,1924,16.89745614035088,20.706,20.5896,62.41542105263157,69.27080000000001,69.06128000000001
182,1925,17.07213450292397,20.734,20.592399999999998,62.729842105263124,69.3212,69.06632
183,1926,17.15116959064327,20.741,20.6052,62.87210526315792,69.33380000000001,69.08936
184,1927,17.164035087719302,20.743,20.6092,62.89526315789477,69.3374,69.09656
185,1928,17.122046783625716,20.776,20.636799999999997,62.81968421052629,69.39680000000001,69.14623999999999
186,1929,16.867982456140354,20.787,20.6604,62.36236842105263,69.41659999999999,69.18872
187,1930,17.213304093567242,20.839,20.682399999999998,62.98394736842112,69.51020000000001,69.22832
188,1931,17.22868421052632,20.844,20.6936,63.011631578947366,69.5192,69.24848
189,1932,17.211637426900587,20.836000000000002,20.706,62.98094736842106,69.5048,69.2708
190,1933,16.993538011695897,20.842,20.7084,62.58836842105268,69.5156,69.27512
191,1934,17.2726023391813,20.863999999999997,20.7144,63.09068421052629,69.5552,69.28591999999999
192,1935,17.125643274853797,20.817,20.7152,62.826157894736816,69.4706,69.28735999999999
193,1936,17.152748538011696,20.854999999999997,20.727200000000003,62.87494736842104,69.539,69.30896000000001
194,1937,17.249064327485364,20.929,20.7748,63.048315789473676,69.6722,69.39464
195,1938,17.380467836257314,20.919,20.802400000000002,63.28484210526316,69.65419999999999,69.44432
196,1939,17.340555555555547,20.942,20.8216,63.213,69.69559999999998,69.47888
197,1940,17.066695906432752,20.954,20.8536,62.720052631578994,69.7172,69.53648
198,1941,17.343245614035087,21.020000000000003,20.8816,63.21784210526318,69.83599999999998,69.58688000000001
199,1942,17.16640350877194,21.05,20.9028,62.89952631578946,69.89000000000001,69.62504
200,1943,17.243333333333354,21.047,20.912,63.03800000000002,69.8846,69.64160000000001
201,1944,17.237514619883036,21.053,20.9192,63.027526315789515,69.89540000000001,69.65456
202,1945,17.133070175438608,21.160999999999998,20.948399999999996,62.839526315789435,70.0898,69.70712
203,1946,17.44880116959062,21.191,20.9788,63.40784210526317,70.1438,69.76183999999999
204,1947,17.29941520467837,21.155,20.9824,63.13894736842102,70.07900000000001,69.76832
205,1948,17.332251461988303,21.226,21.011999999999997,63.198052631578946,70.20680000000002,69.8216
206,1949,17.370233918128662,21.266,21.0456,63.26642105263159,70.2788,69.88208
207,1950,17.152368421052643,21.262999999999998,21.0652,62.8742631578947,70.2734,69.91736
208,1951,17.29649122807018,21.258,21.088399999999996,63.13368421052629,70.26440000000001,69.95912
209,1952,17.35280701754387,21.262,21.1104,63.23505263157895,70.2716,69.99872
210,1953,17.486608187134507,21.311,21.125999999999998,63.475894736842044,70.35979999999999,70.02680000000001
211,1954,17.203304093567255,21.381,21.156799999999997,62.96594736842105,70.4858,70.08224
212,1955,17.21543859649121,21.329,21.1444,62.987789473684145,70.3922,70.05992
213,1956,16.857894736842113,21.272,21.15,62.34421052631579,70.28960000000001,70.07
214,1957,17.270058479532175,21.313,21.173199999999998,63.086105263157876,70.3634,70.11176
